TIMESTAMP,COND,COND-DETAILS,IADS-ID,IAPS-ID,WIDGET-TYPE,ANS,ANS-TIME,ID,AGE,SEX,PROCEDURE-BEGIN-TIMESTAMP,PROCEDURE-END-TIMESTAMP,BIOSIGS-BEGIN-TIMESTAMP,BIOSIGS-END-TIMESTAMP,OPENNESS,CONSCIENTIOUSNESS,EXTRAVERSION,AGREEABLENESS,NEUROTICISM,NEO-FFI,BIOSIGS,PROCEDURE,SPACE,FREUD,PHOTOS
1555651678.8772461,inc,p-s+,367,9429,emospace1,"[0.0, -0.8221942138671878]",2.4193829764117254,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651696.4882536,inc,p-s+,352,6231,emospace1,"[0.8425219726562507, 0.0]",1.11807355272731,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651714.0682592,con,p-s-,277,3053,emospace1,"[-0.8605645751953118, 0.0]",3.0365401366693727,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651731.5922613,con,p+s+,352,8186,emospace1,"[0.65156494140625, -0.6730041503906252]",1.4349604477447429,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651749.1212642,inc,p+s-,276,8341,emospace1,"[0.0, 0.8514129638671872]",1.651830593761133,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651766.6122644,inc,p+s-,713,7501,emospace1,"[-0.8207824707031245, 0.0]",1.0345671764002873,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651784.0972645,inc,p+s-,310,8470,emospace1,"[-0.005731201171875024, -0.8363220214843758]",2.1357542543364616,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651801.6112664,con,p+s+,415,4490,emospace1,"[0.6171246337890628, 0.6000323486328127]",2.102272161059318,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651819.105267,inc,p+s-,134,4660,emospace1,"[-0.6658374023437502, -0.6758471679687493]",1.5851284480277172,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651836.5942671,inc,p-s+,200,3005,emospace1,"[-0.6500506591796874, 0.6720617675781244]",1.7520151329322289,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651854.1132693,con,p0s0,152,9468,emospace1,"[-0.6304962158203126, 0.6194049072265632]",1.868710044778254,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651871.7052753,con,p0s0,120,1945,emospace1,"[-0.6907818603515625, 0.6801641845703128]",0.8677264161760831,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651889.3882868,con,p+s+,808,8341,emospace1,"[0.6237957763671871, -0.5993371582031248]",2.102430045906658,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651906.9972944,con,p-s-,502,6231,emospace1,"[0.0, -0.8721752929687491]",2.736816765329877,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651924.5642989,inc,p+s-,709,8193,emospace1,"[0.0, 0.9170135498046871]",3.57046376722883,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651942.0713,con,p-s-,106,6213,emospace1,"[-0.6495782470703125, 0.6325341796874995]",1.2848062548814596,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555652652.2219186,con,p0s0,132,7249,emoscale1,2.0,0.3170997093834558,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
