ID;AGE;SEX;PROCEDURE-BEGIN-TIMESTAMP;PROCEDURE-END-TIMESTAMP;BIOSIGS-BEGIN-TIMESTAMP;BIOSIGS-END-TIMESTAMP;OPENNESS;CONSCIENTIOUSNESS;EXTRAVERSION;AGREEABLENESS;NEUROTICISM;NEO-FFI;BIOSIGS;PROCEDURE;SPACE;FREUD;PHOTOS
8481;21;F;1557386160.0;1557390392.1163049;1557386037.679;1557390425.628;5;5;7;6;2;Y;Y;Y;Y;Y;Y
8500;22;M;1555401000.0;1555405205.7068949;nan;nan;5;8;5;6;5;Y;nan;Y;Y;Y;Y
8624;21;M;1554975120.0;1554979284.979103;nan;nan;7;10;9;5;1;Y;nan;Y;Y;Y;Y
8660;22;M;1557312120.0;1557316304.998;1557312130.33;1557316413.279;6;7;6;3;5;Y;Y;Y;Y;Y;Y
8722;21;F;1554983040.0;1554987237.3038712;1554983039.178;1554987268.727;8;5;8;5;3;Y;Y;Y;Y;Y;Y
8803;22;M;1554461820.0;1554466021.183747;1554461732.697;1554466067.846;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y;Y
8909;22;M;1554453300.0;1554457471.268317;1554453348.423;1554457501.022;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y;Y
8958;21;M;1554458160.0;1554462382.829724;1554458146.89;1554462429.989;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y;Y
9001;nan;M;nan;1557401631.141061;1557398400.512;1557401664.511;nan;nan;nan;nan;nan;nan;Y;nan;Y;Y;Y
9015;nan;nan;nan;1557741796.645251;1557737473.521;1557741823.67;nan;nan;nan;nan;nan;nan;Y;nan;Y;Y;nan
9076;22;F;1555412400.0;1555416597.709045;1555412347.835;1555416709.834;7;6;3;8;3;Y;Y;Y;Y;Y;Y
9139;21;M;1557213240.0;1557217457.839641;1557213042.378;1557217474.877;9;5;10;8;9;Y;Y;Y;Y;Y;Y
9160;22;M;1557231300.0;1557235503.9003801;1557231287.118;1557235534.217;6;6;2;6;10;Y;Y;Y;Y;Y;Y
9222;21;M;1554456420.0;1554460648.6892593;1554456438.38;1554460691.479;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y;Y
9265;22;M;1557220800.0;1557225010.789395;1557220828.186;1557225046.035;8;10;4;5;2;Y;Y;Y;Y;Y;Y
9292;21;M;1557236640.0;1557240839.6878011;1557236658.915;1557240872.564;4;5;5;3;3;Y;Y;Y;Y;Y;Y
9296;22;M;1555052880.0;1555057146.477667;1555052945.435;1555057261.084;6;9;7;5;3;Y;Y;Y;Y;Y;Y
9371;21;M;1554286140.0;1554290334.972668;nan;nan;nan;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y
9394;22;F;1558089600.0;1558093849.8915849;1558089371.39;1558093957.039;3;6;8;8;3;Y;Y;Y;Y;Y;Y
9413;22;F;1554189060.0;1554193277.1095722;nan;nan;nan;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y
9484;23;M;1557478260.0;1557482446.9897661;1557478094.101;1557482492.1;7;7;5;1;7;Y;Y;Y;Y;Y;Y
9495;nan;M;nan;nan;1555667071.12;1555669043.619;nan;nan;nan;nan;nan;nan;Y;nan;Y;nan;Y
9593;24;M;1557133620.0;1557137799.727206;1557133590.651;1557137841.65;6;5;9;9;4;Y;Y;Y;Y;Y;Y
9595;nan;nan;nan;nan;1554191781.41;1554196173.259;nan;nan;nan;nan;nan;nan;Y;nan;nan;nan;nan
9607;nan;nan;nan;1557736517.45519;1557732207.892;1557736666.791;nan;nan;nan;nan;nan;nan;Y;nan;Y;Y;nan
9626;26;M;1557216000.0;1557220194.937532;1557216001.412;1557220239.511;8;6;5;9;3;Y;Y;Y;Y;Y;Y
9639;20;F;1554731820.0;1554736053.105566;1554731867.362;1554736083.861;3;4;5;8;4;Y;Y;Y;Y;Y;Y
9695;23;F;1555334100.0;1555338328.871464;1555334134.376;1555338357.925;7;4;4;8;8;Y;Y;Y;Y;Y;Y
9700;nan;nan;nan;1557747937.7612953;1557743528.371;1557747974.37;nan;nan;nan;nan;nan;nan;Y;nan;Y;Y;nan
9702;22;M;1555571940.0;1555576516.828057;1555571868.929;1555576560.178;7;7;3;10;10;Y;Y;Y;Y;Y;Y
9740;21;F;1554450780.0;1554455032.510219;1554450765.342;1554455112.941;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y;Y
9744;22;M;1554814980.0;1554819178.695867;1554814989.273;1554819210.272;4;6;10;5;1;Y;Y;Y;Y;Y;Y
9764;21;M;1558095600.0;1558099796.136217;1558095633.924;1558099826.423;6;8;6;8;2;Y;Y;Y;Y;Y;Y
9803;21;F;1554204960.0;1554209194.660348;nan;nan;nan;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y
9820;23;M;1557916380.0;1557920584.141687;1557916341.294;1557920614.943;7;5;4;4;5;Y;Y;Y;Y;Y;Y
9899;22;M;1554880380.0;1554884580.695551;1554880370.394;1554884611.643;4;8;7;4;2;Y;Y;Y;Y;Y;Y
9904;23;M;1557403920.0;1557408130.153461;1557403345.876;1557408160.425;3;6;2;5;7;Y;Y;Y;Y;Y;Y
9926;21;M;1555399260.0;1555403501.631197;1555399331.511;1555403540.66;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y;Y
9930;19;M;1557485040.0;1557489235.828826;1557484948.46;1557489336.709;4;4;5;5;7;Y;Y;Y;Y;Y;Y
9937;20;M;1555404780.0;1555409002.977482;1555404825.631;1555409039.28;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y;Y
9952;22;M;1554977760.0;1554981938.623401;1554977756.93;1554981975.079;7;6;5;3;6;Y;Y;Y;Y;Y;Y
9970;21;M;1554121800.0;1554125971.1686912;nan;nan;nan;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y
9991;23;M;1557743940.0;1557748150.5779793;1557743884.912;1557748171.311;5;4;4;4;4;Y;Y;Y;Y;Y;Y
